name,address,phone,website
dalkora,,,https://www.koreatownnews.com/
dknet news,,,https://www.koreatownnews.com/
DK NET 뉴스,,,https://www.podbean.com/podcast-network/dknet
모기지 포유 Mortgage 4U (제니퍼 김),"99 Trophy Club Dr., Trophy Club TX 76262",214.973.0284,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=99+Trophy+Club+Dr.%2C+Trophy+Club+TX+76262&z=16&iwloc=A&z=auto
Sarah Park 종합보험(Allstate ),"291 E. Round Grove Rd. Ste.145, Lewisville, TX 75067",972) 315-8200,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=291+E.+Round+Grove+Rd.+Ste.145%2C+Lewisville%2C+TX+75067&z=16&iwloc=A&z=auto
[email protected],"291 E. Round Grove Rd. Ste.145, Lewisville, TX 75067",972) 315-8200,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=291+E.+Round+Grove+Rd.+Ste.145%2C+Lewisville%2C+TX+75067&z=16&iwloc=A&z=auto
Avian's water Softener,"2669 AUtumn Ln, Frisco TX 75036",469-879-6611,https://www.aviancewater.com
[email protected],"2669 AUtumn Ln, Frisco TX 75036",469-879-6611,https://www.aviancewater.com
SAM MOON (Fort Worth),"9120 North Freeway, Fort Worth, TX 76177",817) 750-1800,https://sammoongroup.com
"(Mon-Thu) 9:30am ~ 7:00pm, (Fri-Sat) 9:30am ~ 8:00pm, (Sun) 12:00pm ~ 6:00pm","9120 North Freeway, Fort Worth, TX 76177",817) 750-1800,https://sammoongroup.com
강윤철 치과,"2625 Old Denton Rd #101, Carrollton, TX 75007",972-242-3737,http://www.bestdfwdentist.com
월-금: 오전 9시 ~ 오후 6시,"2625 Old Denton Rd #101, Carrollton, TX 75007",972-242-3737,http://www.bestdfwdentist.com
켄박내과 (Ken Park MD Clinic Internal Medicine),"8994 Tour Dr. #210, Mc Kinney, TX 75070",972.449.5900 / 972-449-7686 / 972-449-5900,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=8994+Tour+Dr.+%23210%2C++Mc+Kinney%2C+TX+75070&z=16&iwloc=A&z=auto
[email protected],"8994 Tour Dr. #210, Mc Kinney, TX 75070",972.449.5900 / 972-449-7686 / 972-449-5900,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=8994+Tour+Dr.+%23210%2C++Mc+Kinney%2C+TX+75070&z=16&iwloc=A&z=auto
김기철 변호사,"3010 LBJ Fwy. #730, Dallas, TX 75234",972) 243-7140,http://www.igetyouin.com
[email protected],"3010 LBJ Fwy. #730, Dallas, TX 75234",972) 243-7140,http://www.igetyouin.com
마이클박 보험 (Allstate),"10990 Rolater Rd. Ste 200, Frisco, TX 75035",972) 202.7221 / 469)479.4275,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=10990+Rolater+Rd.+Ste+200%2C+Frisco%2C+TX+75035&z=16&iwloc=A&z=auto
[email protected],"10990 Rolater Rd. Ste 200, Frisco, TX 75035",972) 202.7221 / 469)479.4275,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=10990+Rolater+Rd.+Ste+200%2C+Frisco%2C+TX+75035&z=16&iwloc=A&z=auto
OTA World (타이탄 체어),"1001 W Crosby Rd, Carrollton, TX 75006",888) 848-2630 / 469)271-3368,https://www.titanchair.com
[email protected],"1001 W Crosby Rd, Carrollton, TX 75006",888) 848-2630 / 469)271-3368,https://www.titanchair.com
싸인 USA,10290 Monroe Dr Ste 207 Dallas TX 75229,972-982-2240,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=10290+Monroe+Dr+Ste+207+Dallas+TX+75229&z=16&iwloc=A&z=auto
[email protected],10290 Monroe Dr Ste 207 Dallas TX 75229,972-982-2240,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=10290+Monroe+Dr+Ste+207+Dallas+TX+75229&z=16&iwloc=A&z=auto
이메일 뉴스 구독하기,,,https://www.facebook.com/dknet730
매직터치 종합건설,,214-862-2585,https://www.magictouchgc.com
SAM MOON (Dallas),"11826 Harry Hines Boulevard, Dallas, TX 75234",972) 484-3084,https://www.sammoongroup.com
[email protected],"11826 Harry Hines Boulevard, Dallas, TX 75234",972) 484-3084,https://www.sammoongroup.com
정순화 치과 (K Village Dental),1028 MacArthur Dr. Carrollton TX 75007,972) 242-0005,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1028+MacArthur+Dr.+Carrollton+TX+75007&z=16&iwloc=A&z=auto
PCB BANK,"2144 Royal Lane. #102, Dallas, TX 75229",214.550.7660 / 469.557.8330,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2144+Royal+Lane.+%23102%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
Dream Law,"15301 Spectrum Dr. Ste 380 Addison, TX 75001",972-914-5550 / 847-357-1358,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=15301+Spectrum+Dr.+Ste+380+Addison%2C+TX+75001&z=16&iwloc=A&z=auto
dream-law.com,"15301 Spectrum Dr. Ste 380 Addison, TX 75001",972-914-5550 / 847-357-1358,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=15301+Spectrum+Dr.+Ste+380+Addison%2C+TX+75001&z=16&iwloc=A&z=auto
카펫마켓 (Carpet Market),"2720 Royal Ln. #196, Dallas, TX 75229",972) 406-1007 / 214) 228-8824 / 469) 387-3341,http://www.dallascarpetmarket.com
[email protected],"2720 Royal Ln. #196, Dallas, TX 75229",972) 406-1007 / 214) 228-8824 / 469) 387-3341,http://www.dallascarpetmarket.com
DKnet 방송국,"2356 Glenda Ln., Dallas, TX - 75229",972) 620-6296,https://www.dalkora.com
[email protected],"2356 Glenda Ln., Dallas, TX - 75229",972) 620-6296,https://www.dalkora.com
에릭최 Eric Choi 파머스 종합보험,"1420 Valwood Pkwy Carrollton, #168 TX 75006",972) 971-2890,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1420+Valwood+Pkwy+Carrollton%2C+%23168+TX+75006&z=16&iwloc=A&z=auto
farmersagent.com/echoi,"1420 Valwood Pkwy Carrollton, #168 TX 75006",972) 971-2890,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1420+Valwood+Pkwy+Carrollton%2C+%23168+TX+75006&z=16&iwloc=A&z=auto
안상원 안과 (Swiss Eyecare),"2625 Old Denton Rd. #548, Carrollton, TX 75007",972) 242-1652,http://www.swisseyecare.com
"(Mon-Fri) 10:00am ~ 7:00pm, (Sat-Sun) By Appointment Only","2625 Old Denton Rd. #548, Carrollton, TX 75007",972) 242-1652,http://www.swisseyecare.com
이문희 State Farm 보험,"4116 State Highway 121 Suite 140 Carrollton, TX 75010",972) 416-6803,http://www.moonbarnes.com
[email protected],"4116 State Highway 121 Suite 140 Carrollton, TX 75010",972) 416-6803,http://www.moonbarnes.com
업소록,"4280 Main St. Suite 100, Frisco, TX 75033",469 200 2200 / 972) 242-6789 / 972) 243-3598 / 972) 200-0125 / 214.228.5410 / 972-837-9345 / 888-777-6057 / 214.597.5298 / 214-586-6255 / 469-600-9523 / 877) 777-2666 / 214) 422-2656 / 469) 522-0520 / 469) 231-2771,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=4280+Main+St.+Suite+100%2C+Frisco%2C+TX+75033&z=16&iwloc=A&z=auto
Tommy Lim 부동산,"4280 Main St. Suite 100, Frisco, TX 75033",469 200 2200 / 972) 242-6789 / 972) 243-3598 / 972) 200-0125 / 214.228.5410 / 972-837-9345 / 888-777-6057 / 214.597.5298 / 214-586-6255 / 469-600-9523 / 877) 777-2666 / 214) 422-2656 / 469) 522-0520 / 469) 231-2771,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=4280+Main+St.+Suite+100%2C+Frisco%2C+TX+75033&z=16&iwloc=A&z=auto
Tommy Lim 부동산,"4280 Main St. Suite 100, Frisco, TX 75033",469 200 2200,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=4280+Main+St.+Suite+100%2C+Frisco%2C+TX+75033&z=16&iwloc=A&z=auto
weknowtx.com/tommylim,"4280 Main St. Suite 100, Frisco, TX 75033",469 200 2200,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=4280+Main+St.+Suite+100%2C+Frisco%2C+TX+75033&z=16&iwloc=A&z=auto
앤드리아 김 종합보험,"1220 W. Trinity Mills Rd. #232, Carrollton, TX 75006",972) 242-6789,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1220+W.+Trinity+Mills+Rd.+%23232%2C+Carrollton%2C+TX+75006&z=16&iwloc=A&z=auto
[email protected],"1220 W. Trinity Mills Rd. #232, Carrollton, TX 75006",972) 242-6789,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1220+W.+Trinity+Mills+Rd.+%23232%2C+Carrollton%2C+TX+75006&z=16&iwloc=A&z=auto
Greenhill Insurance (그린힐 종합보험),"11498 Luna Rd. #101, Dallas, TX 75234",972) 243-3598 / 972) 200-0125,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11498+Luna+Rd.+%23101%2C+Dallas%2C+TX+75234&z=16&iwloc=A&z=auto
[email protected],"11498 Luna Rd. #101, Dallas, TX 75234",972) 243-3598 / 972) 200-0125,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11498+Luna+Rd.+%23101%2C+Dallas%2C+TX+75234&z=16&iwloc=A&z=auto
마이크 도 부동산 MD,,214.228.5410,
Anapa Pain Clinic (아나파 통증 클리닉),2600 MacArthur Blvd Ste 701 Lewisville TX 75067,972-837-9345,https://www.anapaclinic.com
"월~금: 8am-5pm (12pm-1pm 런치타임) / 토, 일: Closed",2600 MacArthur Blvd Ste 701 Lewisville TX 75067,972-837-9345,https://www.anapaclinic.com
SYNCIS,,888-777-6057,https://www.syncis.com
[email protected],,888-777-6057,https://www.syncis.com
캐롤톤 아시안 타운센터 (Carrollton Asian Town Center),"2625 Old Denton Road #404-A, Carrollton, TX 75007",214.597.5298,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2625+Old+Denton+Road+%23404-A%2C+Carrollton%2C+TX+75007&z=16&iwloc=A&z=auto
[email protected],"2625 Old Denton Road #404-A, Carrollton, TX 75007",214.597.5298,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2625+Old+Denton+Road+%23404-A%2C+Carrollton%2C+TX+75007&z=16&iwloc=A&z=auto
조은 부동산,,214-586-6255 / 469-600-9523,
ARS 자동차바디 복원전문 (Automotive Reconditioning Services),"1401 W. Hebron Parkway, Carrollton, TX 75010",877) 777-2666 / 214) 422-2656,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1401+W.+Hebron+Parkway%2C+Carrollton%2C+TX+75010&z=16&iwloc=A&z=auto
"(Mon-Fri) 8:00am ~ 6:00pm, (Sat) 8:00am ~ 4:00pm, (Sun) Closed","1401 W. Hebron Parkway, Carrollton, TX 75010",877) 777-2666 / 214) 422-2656,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1401+W.+Hebron+Parkway%2C+Carrollton%2C+TX+75010&z=16&iwloc=A&z=auto
썬 정비 (Sun Express Auto Repair & Body),"11169 Denton Drive, Dallas, TX 75229",469) 522-0520 / 469) 231-2771,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11169+Denton+Drive%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
[email protected],"11169 Denton Drive, Dallas, TX 75229",469) 522-0520 / 469) 231-2771,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11169+Denton+Drive%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
알제이 부동산,"650 May Street, Fort Worth, TX 76104 / 203 Mandalay Canal Irving, TX 75039",972.365.1559 / 972) 919-9999 / 214) 366-3770 / 469)8288322 / 972) 241-0180 / 214) 257-0508 / 972) 242-0800 / 214) 417-5812 / 972-365-1559 / 214.454.5193 / 214.228.6225 / 972.243.0365 / 972.399.1466 / 972) 685-0157 / 469.989.8018,https://www.rjwilliamsco.com
알제이 부동산,"650 May Street, Fort Worth, TX 76104 / 203 Mandalay Canal Irving, TX 75039",972.365.1559,https://www.rjwilliamsco.com
Bank of Hope (뱅크 오브 호프 Dallas),"2237 Royal Ln #303, Dallas, TX 75229",972) 919-9999,http://www.bankofhope.com
전모세 변호사 (Attorney at Law Moses Jun ),"2010 Valley View Ln #130, Farmers Branch, TX 75234",214) 366-3770 / 469)8288322,http://www.mosesknowsthelaw.com
[email protected],"2010 Valley View Ln #130, Farmers Branch, TX 75234",214) 366-3770 / 469)8288322,http://www.mosesknowsthelaw.com
이하정 변호사,"2560 Royal Ln. #216, Dallas, TX 75229",972) 241-0180,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2560+Royal+Ln.+%23216%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
[email protected],"2560 Royal Ln. #216, Dallas, TX 75229",972) 241-0180,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2560+Royal+Ln.+%23216%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
Kevin Lim CPA (케빈임 CPA),"3750 N. Josey Ln., Suite 152, Carrollton, TX 75007",214) 257-0508,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=3750+N.+Josey+Ln.%2C+Suite+152%2C+Carrollton%2C+TX+75007&z=16&iwloc=A&z=auto
하이큐 치과 (HiQ Dental),"2625 Old Denton Rd. #416, Carrollton, TX 75007",972) 242-0800 / 214) 417-5812,http://www.hiqdental.com
[email protected],"2625 Old Denton Rd. #416, Carrollton, TX 75007",972) 242-0800 / 214) 417-5812,http://www.hiqdental.com
Kara Bang 부동산,"650 May Street, Fort Worth, TX 76104 / 203 Mandalay Canal Irving, TX 75039",972-365-1559,https://www.karabang.com
[email protected],"650 May Street, Fort Worth, TX 76104 / 203 Mandalay Canal Irving, TX 75039",972-365-1559,https://www.karabang.com
NOAH 노아건축,"11316 Mathis Ave, Dallas, TX 75229",214.454.5193 / 214.228.6225,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11316+Mathis+Ave%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
[email protected],"11316 Mathis Ave, Dallas, TX 75229",214.454.5193 / 214.228.6225,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11316+Mathis+Ave%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
김순기 치과,"2216 Royal Ln. #115, Dallas, TX 75229",972.243.0365 / 972.399.1466 / 972) 685-0157,https://www.drsoonkim.com
이서니 보험 그룹,"2805 Waverly Rd., Flower Mound, TX 74028 / 1249 M. Blalock Road, Houston, TX 77055",469.989.8018,https://www.sunnyinsurancegroup.com
업소록,"710 Beck Ave Lake Dallas, TX 75065",214) 430-2270 / 214) 334-0288 / 972) 556-0148 / 214) 316-3279 / 972-768-0009 / 972) 473-8000 / 972) 241-9088 / 682.772.0407 / 972) 658-0886 / 972) 302-2506 / 877) 816-2075 / 972) 242-3361 / 972.458.8800,http://texcityroofing.com
텍스 시티 루핑(TexCity Roofing),"710 Beck Ave Lake Dallas, TX 75065",214) 430-2270 / 214) 334-0288 / 972) 556-0148 / 214) 316-3279 / 972-768-0009 / 972) 473-8000 / 972) 241-9088 / 682.772.0407 / 972) 658-0886 / 972) 302-2506 / 877) 816-2075 / 972) 242-3361 / 972.458.8800,http://texcityroofing.com
텍스 시티 루핑(TexCity Roofing),"710 Beck Ave Lake Dallas, TX 75065",214) 430-2270 / 214) 334-0288,http://texcityroofing.com
[email protected],"710 Beck Ave Lake Dallas, TX 75065",214) 430-2270 / 214) 334-0288,http://texcityroofing.com
Danny's Liquor,"2001 W. Northwest Hwy. #120, Dallas, TX 75220",972) 556-0148,https://www.dannys-liquor.com
(Mon-Sat) 10:00am ~ 9:00pm,"2001 W. Northwest Hwy. #120, Dallas, TX 75220",972) 556-0148,https://www.dannys-liquor.com
프로냉동,,214) 316-3279,
O3 컨설팅 ( O3 Debt Connect Consulting Firm / 데이빗 이),"4400 State Hwy 121, Ste 346 Lewsville, TX 75056",972-768-0009,https://www.debtconn.com
[email protected],"4400 State Hwy 121, Ste 346 Lewsville, TX 75056",972-768-0009,https://www.debtconn.com
정순화 치과 플레이노 (Windhaven Dental),"5957 N. Dallas Pkwy. #200, Plano, TX 75093",972) 473-8000,http://www.windhavendental.com
"(Mon, Thur)","5957 N. Dallas Pkwy. #200, Plano, TX 75093",972) 473-8000,http://www.windhavendental.com
김연 종합보험,"1908 Royal Ln. #300, Dallas, TX 75229",972) 241-9088 / 682.772.0407,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1908+Royal+Ln.+%23300%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
24시간 문자가능,"1908 Royal Ln. #300, Dallas, TX 75229",972) 241-9088 / 682.772.0407,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1908+Royal+Ln.+%23300%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
The Street Builder,"2639 Walnut Hill Ln., Ste 200, Dallas, TX 75229",972) 658-0886 / 972) 302-2506 / 877) 816-2075,https://www.thestreetbuilder.com
[email protected],"2639 Walnut Hill Ln., Ste 200, Dallas, TX 75229",972) 658-0886 / 972) 302-2506 / 877) 816-2075,https://www.thestreetbuilder.com
우리들병원,"2625 Old Denton Rd. #415, Carrollton, TX 75007",972) 242-3361,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2625+Old+Denton+Rd.+%23415%2C+Carrollton%2C+TX+75007&z=16&iwloc=A&z=auto
LoanDera,,972.458.8800,WWW.LoanDera.com
